economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,5.35763451174631,5.68507247415808,5.00753623707908,4.33,4.53,5.53,6.58,5.77,6.85329277507097,6.85603483098155,6.07489369322377,6.14706311263524,5.75208403362842,5.75208403362842,5.75208403362842,5.75208403362842,5.75208403362842,5.75208403362842,,,
AFE,4.4321245865164,4.36350731333545,4.2992256955429,4.1640000181284,4.10314831237036,4.32960719606398,4.55562459988066,4.75980345783571,4.88305553991164,4.57609743651422,4.54618581146875,4.39107533951842,4.29282745861213,4.33402124466182,4.40840928276843,4.49946959886637,4.51329848512701,4.71014914330022,,,
AFG,2.57198097195837,2.6161619252292,2.66034287850003,2.70452383177087,2.74870478504171,2.79288573831254,2.83706669158337,2.86361121097898,2.81498738021123,2.79347880461878,2.98227346742941,2.59444730376298,2.59444730376298,2.59444730376298,2.59444730376298,2.59444730376298,2.59444730376298,2.59444730376298,,,
AFW,3.4647530305616,3.38921450211539,3.15312857977346,3.15381499238194,1.78672089282466,1.93507120112784,1.88339665997008,2.08055351328496,1.98311592008713,1.97430347384626,1.8593703185545,1.75716590848385,1.90739956122299,2.0078711613568,1.99883260978049,1.72623239060695,1.82994725149781,1.89811751011834,,,
AGO,2.68999999999999,2.61500000000001,2.54,2.79750000000005,3.05500000000007,3.3125000000001,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,,,
ALB,2.97789812623444,3.00041381394017,3.02292950164592,3.04544518935165,3.06796087705739,3.09047656476313,3.11299225246887,3.13550794017461,3.15802362788035,3.18053931558609,3.15228442340002,3.12402953121393,3.57274109456264,3.30390855184779,2.96556705599494,3.44651616742275,2.79249297190928,2.79249297190928,,,
AND,1.49,1.54,2.05,2.45733358026392,2.86466716052782,3.14,3.01,3.12,2.78,2.44,2.50822017351064,2.57644034702129,2.64466052053194,2.71288069404259,2.78110086755323,2.84932104106389,2.84932104106389,2.84932104106389,,,
ARB,4.66948569669121,4.69345361296684,4.48950694664873,4.43526296830817,4.4365695806067,4.47097264610054,4.50040917868041,4.59006393429509,4.60524236234727,4.63120676091796,4.65248608983104,4.65280555252434,4.66255384229553,4.69474902253244,4.76528597011415,4.78273941788209,4.84052418378651,4.91627027483128,,,
ARE,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.8387907017297,2.87026949648222,2.87026949648222,,,
ARG,3.3,3.48999999999999,3.68,3.86,4.25,4.81,4.52,4.86282750838924,5.20565501677847,5.23053907030045,5.09195199193834,5.25217630361376,5.05761305212922,4.98673995645437,4.9287630963461,4.83027517380104,5.03900899926811,5.03900899926811,,,
ARM,2.53696594285715,2.58984520000001,2.64272445714286,2.69560371428572,2.74848297142858,2.80136222857144,2.85424148571429,2.90712074285715,2.96,2.55,2.1,2.69644909303094,2.4448922446485,2.29094323511871,2.35908658498409,2.42722993484945,2.49537328471479,2.72293184502268,,,
ASM,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,,,
ATG,3.13571428571429,2.95857142857141,2.78142857142853,2.6042857142857,2.42714285714283,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,
AUS,4.886,4.9,4.79,4.66,4.6,4.8,5.08,4.85,5.05,4.95460293085144,4.85920586170285,5.01034128558313,5.01034128558313,5.01034128558313,5.01034128558313,5.01034128558313,5.01034128558313,5.01034128558313,,,
AUT,5.14,5.09,5.07,5.01,5.07,5.55,5.4,5.4,5.21,5.28052085087478,5.16944851921397,5.20830719714771,5.13773695423778,5.05943865732974,4.90120078971736,4.86904988537168,4.86904988537168,4.86904988537168,,,
AZE,3.66,3.34,2.83,2.85,2.65,3.42,2.9,2.56,2.15442962272958,2.45793676365899,2.60541671654355,2.98260131967813,3.02873625466016,2.53772738517496,2.54446877899414,2.39556863918412,3.89614439288728,3.89614439288728,,,
BDI,2.83491965329695,3.6,3.94999999999994,4.29999999999993,4.65,5.46,6.36,5.77,5.69,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,5.17552163934371,,,
BEL,5.62,5.6,5.63,5.63,5.95,6.25,6.1,6.12,6.11463725619921,6.10927451239842,6.14360771511238,6.04093798015573,6.0444860198264,6.04043070433074,5.98070583298863,5.94301952933552,5.94301952933552,5.94301952933552,,,
BEN,3.33,3.62,3.48,3.23,3.91,4.3,4.79,4.775,4.76,4.69,4.55,2.93313927895418,2.93313927895418,2.93313927895418,2.93313927895418,2.93313927895418,2.93313927895418,2.93313927895418,,,
BFA,3.99988737142856,4.27,4.22,2.64615680357713,2.84077120238475,3.03538560119239,3.23,4.13,3.62,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,,,
BGD,1.48,1.545,1.61,1.79,1.71,1.59,1.77802832192127,1.96605664384263,1.87681685753293,1.86282889139239,1.84884092525187,1.83485295911133,1.8208649929708,1.66246855487557,1.50407211678041,1.34567567868521,1.34567567868521,1.34567567868521,,,
BGR,2.22,3.81,3.81,3.6,4.0,4.22,3.98,3.69,3.57,3.84651934053933,3.88032612661393,3.91413291268855,3.94793969876317,3.98174648483779,3.97999337934041,4.06227190277432,4.06227190277432,4.06227190277432,,,
BHR,3.19779847499997,3.00389923749997,2.81,2.53,2.56,2.6475,2.735,2.82249999999999,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,,,
BHS,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,,,
BIH,,,,,,,,,,,,,,,,,,,,,
BLR,5.43,5.58,5.71,4.87,4.63500000000003,4.4,4.95,4.51,4.77,4.88,4.69,4.7610887623518,4.98540300507551,4.70152826848752,4.72129350844955,4.74105874841159,4.7370096892192,4.44530031372504,,,
BLZ,5.1,5.32857142857139,5.55714285714286,5.78571428571433,6.01428571428571,6.24285714285717,6.47142857142855,6.7,6.54500000000002,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,,,
BMU,2.52301895454545,2.40041516363636,2.27781137272727,2.15520758181817,2.03260379090908,1.91,2.1,1.96565264102406,1.83130528204813,1.69695792307216,1.56261056409623,1.42826320512029,1.42826320512029,1.42826320512029,1.42826320512029,1.42826320512029,1.42826320512029,1.42826320512029,,,
BOL,5.95999999999997,5.58999999999994,5.22,5.78999999999983,6.36,7.37,7.21,6.55,6.05824734297434,6.06912367148717,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,,,
BRA,3.9,4.39,4.79,4.85,5.16,5.4,5.39,5.49,5.54,5.55178246017415,5.66345554555424,6.10958007539543,6.23363170006062,6.28131125549751,6.07057917403265,5.94603465392286,5.94603465392286,5.94603465392286,,,
BRB,5.64,5.55,5.37999999999998,5.21,5.02,5.6,5.78,5.585,5.39,5.78582541364261,6.18165082728525,5.45378702725419,4.72592322722332,4.36842169685835,3.80193460410574,3.235447511353,3.03330901893487,6.37076440226129,,,
BRN,2.996,2.83500000000001,2.67399999999998,2.51299999999999,2.352,2.19100000000001,2.03,2.35669061457324,2.68338122914651,3.01007184371977,3.33676245829304,3.66345307286631,3.99014368743954,3.99014368743954,3.99014368743954,3.99014368743954,3.99014368743954,3.99014368743954,,,
BTN,4.06,4.3,3.93000000000008,3.56000000000005,3.19,4.02,3.05,3.37,3.97957302228562,4.58914604457146,5.19871906685729,5.808292089143,5.808292089143,5.808292089143,5.808292089143,5.808292089143,5.808292089143,5.808292089143,,,
BWA,8.78983991428584,9.32,8.25999999999993,7.2,8.3400000000001,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,,,
CAF,1.60544282857143,1.61,1.4,1.3,1.27,1.23,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,,,
CAN,4.76075328675174,4.66,4.625,4.59,4.38,4.58,5.0,4.93,4.61391157792796,4.29782315585599,4.54397254512324,4.43982357493242,4.52936192337857,4.57074895362506,4.54173986648819,4.47903188671508,4.47903188671508,4.47903188671508,,,
CEB,4.52439515105191,4.52399726843306,4.4702216024473,4.24425202236668,4.29537147762468,4.47037110861057,4.37697332731186,4.24581831904782,4.24474376513033,4.21589475232091,4.19980020722193,4.42960114030289,4.32858296629818,3.99009948324399,4.03147933935855,4.1565519305224,4.15847702112563,4.15860674560841,,,
CHE,4.71,4.41,4.27,4.35,4.82,4.58,4.3,4.54,4.57,4.3050785829334,4.33744732287797,4.32863965945762,4.37407402601123,4.37407402601123,4.37407402601123,4.37407402601123,4.37407402601123,4.37407402601123,,,
CHI,,,,,,,,,,,,,,,,,,,,,
CHL,3.49,3.36,3.25,3.39,4.00224966489327,4.23,4.23,4.12,4.66,4.57,4.74567330565021,4.92134661130037,5.09701991695057,5.27269322260078,4.99481572048264,5.5288416385867,5.5288416385867,5.5288416385867,,,
CHN,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,,,
CIV,4.32,4.06,4.04,4.19,4.24427473094013,4.19481442982498,4.39678070961784,4.01714615709006,4.18584001338762,4.42751885864552,4.56,3.3622455984772,3.79615233044037,3.66676233692437,3.18644784854212,3.18644784854212,3.18644784854212,3.18644784854212,,,
CMR,2.74,2.89,2.51,2.79,2.59,2.84,2.96,2.81,2.67,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,,,
COD,1.2329908,1.28082566666666,1.32866053333333,1.3764954,1.42433026666666,1.47216513333333,1.52,1.69999999999999,1.88000000000001,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,,,
COG,3.33,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,,,
COL,4.04,4.1,3.98,3.72,3.54,3.92,3.89283198923468,3.26,3.19,3.67103915895027,3.47,3.3871223708455,3.50866968795149,3.51405518133894,3.9854009121329,3.91355709427248,4.31309340733355,4.31309340733355,,,
