economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,95.4701385498047,94.4293518066406,99.4612808227539,97.3307266235352,100.205062866211,97.5935821533203,99.1608428955078,,,94.0547790527344,101.321281433105,,,,96.1325988769531,101.90274810791,104.266471862793,95.7777786254883,93.8329391479492,,
AFE,55.4729194641113,57.7194213867188,59.8370513916016,61.481861114502,64.5043869018555,68.0193099975586,67.7394180297852,66.6150817871094,66.2546463012695,65.8006210327148,66.1218338012695,65.9160919189453,66.3104476928711,67.4052124023438,68.8943099975586,69.6575927734375,70.800651550293,71.7907333374023,71.0935134887695,70.4420471191406,70.5337371826172
AFG,,,,,,,,,,,,,83.4359664916992,88.2425765991211,89.8436279296875,88.8901214599609,,,,,
AFW,60.3057899475098,62.1272087097168,65.6695098876953,62.551139831543,59.5222396850586,62.146541595459,63.1765785217285,64.3003768920898,65.0124130249023,65.3945083618164,65.8990325927734,66.7500686645508,67.3451232910156,66.6828536987305,66.4673233032227,66.3479232788086,66.592399597168,67.2360916137695,66.0412368774414,66.4375305175781,66.646728515625
AGO,,,,,42.0463600158691,41.7748107910156,43.0581956100768,49.9452277889684,,,,,,,,,,60.0259394365677,,47.8556786596463,
ALB,105.375846862793,,,108.387466430664,109.742630004883,108.645553588867,102.078805224989,100.500959283735,117.008465181901,91.1192101863813,105.693672858903,98.7887867553705,99.5973586728942,106.449693580056,102.89417505337,98.717525153927,99.2719284481406,97.2184448015824,101.176280497657,95.1351520460518,107.345321655273
AND,97.2185363769531,,,,,,,,,,65.1785714285714,65.4046997389034,69.220607661823,66.0691421254802,67.7461139896373,65.1436031331593,62.6398210290828,62.5899280575539,,69.4174757281553,67.3548387096774
ARB,80.3446578979492,81.3345413208008,79.5800628662109,81.3306579589844,82.7405624389648,80.9262390136719,81.4851989746094,81.6125106811523,82.7023620605469,78.4508666992188,78.4920196533203,77.7366027832031,77.3814697265625,77.3754577636719,78.386360168457,78.6826782226562,79.8448791503906,79.9189224243164,81.1133193969727,81.88037109375,83.1461334228516
ARE,94.6663131713867,92.9555816650391,89.105842590332,,,,,,,,,,,,105.077405010456,99.7345915659098,99.8548679378418,97.4315919891101,102.456393452687,99.1737916980463,
ARG,97.3868179321289,94.5341262817383,95.6887130737305,98.5453414916992,102.319679260254,102.965492248535,103.31336478821,103.299525536147,103.663843793221,103.278045218399,105.369846292036,105.966493596972,106.53556124907,101.523895644883,100.145531751709,100.286471247217,99.8427784444202,102.877639887141,100.310147105379,98.9436486948575,
ARM,110.370262145996,99.7471084594727,97.4247970581055,105.019790649414,108.788780212402,,96.1579477457195,96.2675193497296,94.398657797139,,93.9747354424068,92.4189283979928,89.3423023359697,90.7134854349155,88.8457640107785,93.5630099728015,94.3636628896562,94.2158819806222,93.8248282630029,94.3309098054628,98.213668887244
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,110.256408691406,103.888130187988,119.779411315918,119.621208190918,,114.516129032258,120.137298583984,100.936767578125,103.177124702145,108.32666015625,104.944183349609,105.633802816901,,,123.354735152488,,
AUS,,,,,,,,,,,,,,,,,,,,,
AUT,100.962127685547,,,,,,,100.62183380127,96.4984817504883,98.8614273071289,97.3396606445312,99.3965225219727,97.1509704589844,98.6491775512695,97.7539825439453,99.4589767456055,97.6123962402344,99.8165130615234,97.1591720581055,98.030403137207,
AZE,95.5954284667969,93.4306182861328,91.6054306030273,98.13037109375,90.7368316650391,91.7717208862305,89.5144492617222,92.8068313392512,91.9911870008262,88.0894106271435,98.1257063661637,103.280207101326,111.301912974527,107.172167278439,100.219950144634,100.383341347438,98.5337296772628,96.56355160566,99.7032805695039,96.2334128073598,97.2039767305857
BDI,32.5136108398438,34.922721862793,,47.7613792419434,41.7056617736816,48.131031036377,52.5292164186807,57.807852401061,62.63929551177,69.1022048593299,66.8519495203845,60.0952306625293,61.990361853496,61.3078373641735,55.4360093087346,51.6197565455252,47.609493213452,,,,
BEL,,,,,,,,,,,,,,,,,,,,,
BEN,48.7890701293945,,,,59.6330108642578,,62.5975189208984,67.32373046875,68.599967956543,73.8312835693359,74.4083786010742,75.4117202758789,74.7715225219727,,,58.9629592895508,57.5283889770508,67.7665023803711,61.6417503356934,,
BFA,28.8950691223144,30.4755191802979,31.8527793884277,33.9733009338379,37.6760787963867,42.5357513427734,45.96010978957,,55.8972269217297,60.8494277141905,59.5950909640897,60.3448419249273,60.1264533975278,61.5863350030506,62.608203204783,61.6091078457616,61.8698150998586,63.7436352801156,58.291190218396,51.6947761170006,51.9892903102133
BGD,,64.2816696166992,,,55.0913696289062,60.2132186889648,60.9081624899997,,,,,,,,,,,109.869193724542,96.6163713445783,98.0281882152568,94.3021681436472
BGR,103.744682312012,104.944259643555,107.972633361816,104.066673278809,103.576042175293,100.611473083496,99.7935028076172,99.9665908813477,99.5272598266602,100.799560546875,98.9775390625,99.57666015625,98.1427536010742,98.9449234008789,97.0378875732422,97.1262664794922,97.7003631591797,94.2598114013672,95.7139129638672,94.4560775756836,
BHR,93.5353698730469,93.9117813110352,,,,,,93.2333767926988,100.101296596434,104.924189734316,102.214573321211,99.087656529517,99.6276565274675,98.1791778373548,95.9884292107849,97.6139639158749,,,101.043024771838,88.56187958298,94.1088052754073
BHS,,97.9081497192383,93.7549514770508,97.5358428955078,95.9233779907227,96.4446716308594,91.7100242802636,103.337497769052,104.306912775968,93.5685409775818,94.3441414885777,99.2159008023341,88.5392454854282,,84.8316556751128,87.8645014841977,,,,,
BIH,,,,,,,72.3985824584961,78.6745529174805,78.5472793579102,75.9149322509766,83.6569595336914,90.0065689086914,90.97119140625,93.0948104858398,93.8655014038086,99.1442184448242,96.0395965576172,96.8716278076172,100.880813598633,100.520736694336,
BLR,104.536270141602,103.232276916504,104.446319580078,102.63614654541,97.3594589233398,100.46858215332,99.916950782411,103.374050767798,101.548622181735,100.26147555146,100.850687667899,99.1478502080444,98.8307816362691,97.5639761377061,97.9010508782273,102.222120658135,97.5682629263839,95.1344639118257,94.2244718234595,94.4563997400778,95.772858453021
BLZ,100.437866210938,103.162467956543,102.32251739502,104.323547363281,98.9847030639648,101.594749450684,100.324044069994,103.139415684265,107.9474422758,102.819789797488,104.19571391686,105.886909372579,105.909737488685,102.663029358275,104.337570436378,102.683765203596,104.80372588157,116.046378471228,108.684100125857,96.5262582056893,94.2174145299145
BMU,97.7070083618164,97.0663299560547,95.7908172607422,,,,113.239440917969,105.021522521973,99.4413375854492,100.277008056641,95.548957824707,102.194358825684,,,,,,,,,
BOL,,,,,,,97.4708397438191,97.3701620172007,98.2205353399386,95.5128064390064,91.7140589292256,89.5214525028281,90.0554272119164,91.3607050454169,94.1732848592557,90.8282080372604,92.1121793096985,,96.544110752129,96.2025910226778,
BRA,,,,,,,,,,,,,,,,,,,,,
BRB,104.556350708008,100.718826293945,103.348342895508,99.2749633789062,98.5796203613281,97.4724426269531,94.9396958573676,96.1538461538462,,,,,,,86.5113759479957,81.3846153846154,90.5820977484898,94.9681897050318,87.0643827525103,92.1521279806822,85.2842809364548
BRN,115.231391906738,113.22477722168,115.946067810059,118.802337646484,115.731391906738,110.637649536133,106.822057987493,111.028993746447,103.19944598338,103.014509085787,97.0102505694761,98.8262570641936,102.815448113208,103.848494067539,106.125039669946,100.955518945634,104.65599822998,102.268008305382,105.507105943152,101.681320376369,
