economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,,,,,,,,,,,,,,,,,,,,,
AFE,153.171735347417,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,
AFW,,,13.2617447709501,28.8086564424566,14.418091073371,11.4876452770918,13.9711595800276,9.87049757711835,,16.420760081283,11.9540144505389,11.5928131387433,,,,7.77773774146428,9.81693691901654,9.39758943545694,9.55018805001666,,
AGO,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,48.0639532694106,34.2606511872582,33.9196249808848,44.5766485630859,46.7335770399937,47.631853204901,47.4250741533519,47.7768083887267,45.2893508657438,131.846754520927,149.243030082059,146.81012968754,131.739551341459,158.643467410555,141.946445709083
ARE,,,,48.9325845283505,34.02944156019,54.5239203764302,42.7283713396841,25.4083602854768,25.7967428289385,44.0210976511191,47.4422005722883,51.2795637409146,55.8562273946487,57.5418997990357,52.5189378966808,56.880357829535,82.5485466048425,131.393728182834,170.816665223741,190.227205289085,190.859117789375
ARG,24.6534557360052,23.946359886693,22.0333391526542,19.8483841980828,11.0218432201051,13.7381863641294,15.0863203529933,8.22014945932331,6.27396625321678,9.61999483859266,11.4269032684242,9.43836863309546,11.4076106061133,16.8948497510525,8.76225361679707,8.79801852253825,8.36065160246713,8.58081622666602,8.35147499068672,,
ARM,,,,,,,,,,,,,,,0.383771292314693,0.403545249598453,0.213183377396629,0.212696839421871,1.29484672225421,1.15740596145323,18.6746236710281
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,
AUS,126.112486727805,115.384839656813,146.171231823551,151.565443611327,64.61076994888,135.432627661516,126.195790298749,85.405471522459,89.3185156366129,86.2490256648578,87.3891932530615,87.4910333564071,104.696759321256,113.342362733756,88.1139234839412,106.382445195033,129.041410738388,120.939358825633,99.0295271142089,103.129214204538,98.8664833716782
AUT,29.3359678138249,40.2135811811776,57.7319131527299,61.1356607274506,17.7732027443837,28.5697202695265,32.3301630837915,19.8784423232203,26.0692447167614,27.5848073777544,22.0702317031415,25.3142847952661,30.7291374574845,36.3067004353975,25.8079030703192,30.0458543542059,30.406072576452,33.9022442534773,26.0022108616596,26.8320888102517,22.5848776685147
AZE,,,,,,,,,,,,,,,,4.51253660120982,3.35973110345958,2.90985502643686,1.86274218553481,2.17767956052381,2.20049866626562
BDI,,,,,,,,,,,,,,,,,,,,,
BEL,74.0077279672413,74.7912935279234,97.0381826331265,81.8719049070703,32.323460470183,53.5589278420989,55.8036882326585,43.4981615330493,60.0940023133312,71.4229562471315,70.3595988523225,89.9167302576445,79.7315946747612,87.3998522006743,59.1725980275377,,,,,,
BEN,,,,,,,,,,,,,,,,,,,,,
BFA,,,,,,,,,,,,,,,,,,,,,
BGD,,4.74928024229449,5.36286721925589,10.9691992958956,12.7907617406419,20.4234180941606,36.1020820041211,37.0892339567701,,34.1059370512267,39.5969990649654,33.5567501494932,26.5508730809515,29.3392000067805,24.0819788267218,18.3401778158872,24.0049718864107,26.2482228968323,25.0428850552811,25.5037744630994,19.537401350526
BGR,10.7193879856501,17.0266103826171,30.0314394491755,48.7667047933358,16.3001256909391,16.6330983038396,14.5521760593767,14.3083651037476,,,,,,,23.6809634611655,23.3551158150948,25.1259533922735,20.1772184162959,17.351958323808,7.67190701317344,7.42299355979162
BHR,102.970993799121,108.742693829694,114.145707760654,124.658766682006,77.5832300642372,70.8975297892002,74.8330297002198,55.4575530409178,,,63.4625440266412,59.1916295683291,57.235890609995,58.3423964955347,55.2536437426567,66.4632908995266,68.6655003543612,70.2449817399414,65.1388033624375,44.6098322863103,43.3193697641238
BHS,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,0.729333353479127,0.945907673467445,2.59567890788739,,,,,4.06279282588662,3.38407849706567,4.72221100706981,7.91343124955594
BLZ,,,,,,,,,,,,,,,,,,,,,
BMU,41.2388512684118,43.6466853021362,44.0027669270833,40.3592433870253,27.3972779369627,20.435546875,23.1357899569615,19.5216271475984,23.3122636084104,22.6887621493913,24.9685531061174,27.8005650577553,36.5458141628288,38.065943875908,33.1193968649499,39.9449583179822,3.20006318818056,3.36075111827279,2.62877805887218,2.23446313788561,20.8798301854098
BOL,,,,,,,,,,,,,,,,,,,,,
BRA,49.3578142021198,53.2333863775009,64.1233587852083,98.0386015500143,34.906605414413,80.2189953637506,69.9718849499809,46.974872486969,49.7903996612963,41.2668772197179,34.3599007343126,27.2184465616673,42.243234543327,46.2664552464381,47.827652359865,63.3838250884009,66.9581625438007,48.8359583664535,40.6992264217543,45.2367958179069,30.1448139796022
BRB,,,,,,,38.5437783144423,80.6540587310837,,70.3250282326369,47.7456143472227,51.7552187990839,54.5680752828393,58.962371220186,59.0071560076309,55.1457760250574,51.4223097622548,,,,
BRN,,,,,,,,,,,,,,,,,,,,,
BTN,,,,,,,,,,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,23.685729548957,21.2912803799483,22.0298433903258,16.8476229201528,152.673343217555,18.5177505728581,
CAF,,,,,,,,,,,,,,,,,,,,,
CAN,114.690672619493,126.346747568222,128.913321846832,148.864363431601,66.5588326938396,122.028302011667,134.24451997318,106.666121933061,112.667432969218,114.471175200682,116.041579457855,102.370078691396,130.466596582731,143.522053482469,112.320751199607,138.15815488345,159.538527603603,163.313466014962,126.043526032141,142.597821347837,150.402111872218
CEB,22.781060536382,24.8083107770224,34.3494973904757,41.3617931788989,15.3466924701779,24.6707335158622,27.1408749008133,18.842461052702,,26.9538792761905,21.8252568303081,22.6305131381991,23.1504902546442,28.9655515726438,19.6210658386278,19.426385025311,21.1329824321646,20.8908018839705,16.1129546205165,19.0496158397101,17.1494773765886
CHE,205.266553359768,224.415879358657,274.555956843088,259.74137859237,155.188515971916,192.10785405491,205.285869216028,152.191289307885,179.691521499822,218.15684108399,205.813680009389,218.885413149087,204.007104415449,242.591347670345,198.624946928415,254.301608931646,269.758015141163,285.499861406335,220.942050283053,228.604263937912,210.494026368695
CHI,2.15463741438356,6.08727085478888,15.2926162768587,,,,,,,,,,,,,,,,,,
CHL,118.014743014624,111.610698793356,113.374149313385,123.432605845767,73.2695500853533,134.320182725477,157.473842785354,107.521009039438,117.339397145815,95.5857394651442,89.8615314195602,78.5117428875939,85.2152277842727,106.706932574631,85.4879920737696,73.2312582420885,72.6451942078247,82.3043810867021,94.6901545749887,85.8519195858762,79.3329036867525
CHN,22.5643099574266,17.3395191009478,41.033691444197,124.272951099968,38.1112495628245,68.8524786238225,65.0431667921056,44.4762288163661,42.6276108457102,40.5326196174462,56.2548972900922,72.5835808340326,63.9029590501553,69.4813653656583,44.7058557619521,58.8558640185154,81.8646786726428,79.3192238397069,62.6166578891979,59.8556765846528,62.7181039133864
CIV,8.85839644347985,9.70344838621907,16.4360273561934,28.8774121524282,20.7985797946341,18.0729003780348,20.4890568404792,17.1353615174852,,27.6398150432403,23.9755925190508,27.2684242942767,25.5406546882353,23.7766952486201,14.4445573479576,13.4146102809389,11.6319843905098,,,,
CMR,,,,,,,,,,,,,,,,,,,,,
COD,,,,,,,,,,,,,,,,,,,,,
COG,,,,,,,,,,,,,,,,,,,,,
COL,,34.6844960912747,34.7384214865918,49.4380919154691,36.1710097864041,60.4468224320426,72.7758488044793,60.0942928506047,70.7061026238885,53.0480485677286,38.491592506046,29.2871156900696,36.7213432955425,38.9516295819788,31.0738880030359,40.8753318985173,39.3252642130379,28.4252677989683,19.7934197203512,21.6237934307051,17.3434816885955
COM,,,,,,,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,,,,,,,,,
CRI,8.37318749280863,7.53588614603866,8.27543599299201,8.11547066709238,6.18578576204556,4.77621038518597,3.83689077548768,3.5040421302319,,3.82724764327654,4.90491376893806,4.16980847885031,4.95827999336993,4.9751433972405,3.84670562842237,3.4421455821892,3.04713741373833,3.14199075969613,3.22348803495399,,
CSS,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,
