economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,132.430929795173,145.050280144237,141.042626734626,139.972309491093,139.110149824701,137.556575933708,135.464654677581,154.437786862887,156.645197205944,155.731904417046,156.491052766236,140.493001133496,136.887263320827,138.716620095236,138.824972245657,137.9619293134,122.723738046404,139.917797708768,160.634546418015,159.018596924652,160.365278789947
AFE,55.9014690795976,58.6583006346614,59.2211968534177,64.926552245923,72.1139529810406,60.8267897293719,61.1440016011495,63.0683921534385,61.0262151920067,61.4749476479476,59.8998848247145,54.919335043677,52.9532018565789,51.8332071754235,55.0220378948386,53.528129184284,49.5217047765169,54.5012645153596,57.1527762711517,56.1705277452305,54.422178323254
AFG,,,,,,,,,,,,,,,,,46.7098945514103,51.4117163747271,72.8854696086536,67.5846651516385,
AFW,,,,,,,,,,,,,,,,,,,,,
AGO,90.3860384733605,95.3414592884703,84.6246041171541,97.2256306999958,108.680408741993,102.263183257986,90.9940631355109,89.0369443425845,81.9394785486361,77.3498013716078,69.5801424481147,54.9793808779835,47.0155661405313,45.6643423539921,58.916480075976,60.7148243336685,54.3442286847189,61.5262136695806,55.2547732713835,53.033483632308,50.8422305562091
ALB,65.0379383187697,69.1162926602322,72.2019089483674,79.9119008919954,75.2485472798728,73.3213575646169,75.5325329687378,80.6989985298954,76.9683583166821,75.7506185619748,75.0212023084129,71.2794476606014,74.0144504546815,76.7873817898989,75.6940783717425,75.382128932689,59.5206994391875,75.5904040905009,84.6980435944865,82.3524933990723,79.4546360752224
AND,,,,,,,,,,,,,,,,,,,,,
ARB,84.5068077172092,88.6457164514403,88.9408719600594,92.9395640965946,96.7573478237637,88.7840499830423,85.4722234406328,88.2778925699692,89.7697484348065,88.7552573164627,86.5625376235488,81.6833904367822,76.0430297374186,79.4530344876071,79.8820396126159,79.0696226380511,74.5045919856139,79.4584284528696,86.7932393179498,86.7466586209333,62.2097108772467
ARE,116.622612523831,119.552871642254,119.470669577786,136.798152865771,148.513544025723,153.461944358373,135.485709128426,144.176786868982,156.637694501481,157.398083989641,159.515615057764,164.286182737903,165.39501917458,165.476542469815,154.747005019293,163.822152944853,181.29188817064,182.909355066597,185.741660982819,199.044979237546,
ARG,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.6306150458499,30.203698807416,33.078689567466,31.5801792606256,26.6769512482215,27.929760849367
ARM,73.0706339919371,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9616759606704,77.5550481598824,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212,97.847004865327,70.1213571368789,79.2489057647112,103.878629213508,123.418750077627,150.064726588742
ASM,202.357563850688,223.2,229.817444219067,218.146718146718,249.821428571429,161.333333333333,157.940663176265,157.543859649123,176.40625,173.824451410658,174.805598755832,162.407132243685,159.165424739195,161.437908496732,171.830985915493,156.568778979907,154.368932038835,136.8,124.684270952928,,
ATG,,,,,,,,,,,141.546161057996,130.071549851721,132.025917905085,127.664323582144,130.655152659419,137.537783631991,94.289529886499,101.074960584779,117.703527768353,,
AUS,36.9505159618289,39.0978822564811,41.4878923489153,41.9297451276561,42.7522207880308,45.5936120867789,40.3905070860606,41.7219860149689,43.0198495527558,41.100511881056,42.2993095385282,41.4947506939901,40.813402217321,42.0354135251854,43.5732253645218,46.0016827052171,44.499564103879,40.2022359390595,45.6946418805752,49.044339318428,47.1453811065195
AUT,91.4742201880009,94.6747547827805,98.7857253161241,101.36495843546,102.7437043613,87.6004931021953,99.6448825546716,105.775098372378,105.840791389706,104.985374015367,104.49673998926,103.11758174626,101.573494597172,105.556066755438,108.377969971828,108.207284904426,99.9482141095975,111.032932124165,123.579578652902,115.152914822732,108.825777834405
