economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,,,,,,,,,,,,,,,,,,,,,
AFE,18.1486824696459,18.8632320871413,19.4818169147318,21.2269598657084,23.7451142327418,23.9202999650544,21.3491191112507,21.835567973105,22.1997740216059,22.6065538885576,23.1865577168069,22.6399092811008,22.1532816712327,21.7597543030129,21.2754081627045,21.4868407316028,19.7329290820807,19.4120288858398,19.4352829545479,19.4535846574594,18.593912280872
AFG,,,,,,,,,,,,,,,,,11.4556283331357,12.9867036666422,16.6684717100358,15.2435765521019,
AFW,,,,,,,,,,,,,,,,,,,,,
AGO,31.1805304545116,28.9849966736527,22.8887255074739,26.2503761127983,30.5810596692926,43.0003971409803,28.9194518919902,27.4418409025884,27.7888811657442,27.1594384976734,28.4327573552977,29.0721207527156,30.0761762522923,29.1318691032117,24.159251809913,24.5904860348098,19.551921802528,15.959365647445,14.1370359060667,12.2907549674003,10.3941219963068
ALB,38.171113638681,38.4528885210446,38.3733064639202,36.4450920497709,35.0619928502369,34.46966714051,30.1746231779397,31.6903461775522,28.6230804126196,27.8069449555149,26.5299242007892,26.0810405275666,25.626746695952,26.2596685681188,25.9195838592949,24.6048342032887,25.1975755428037,27.2150561792836,25.6948129442746,24.2865145867852,24.3552461083467
AND,,,,,,,,,,,,,,,,,,,,,
ARB,20.0123573747298,20.0477391064511,20.5911833485624,22.5815001696492,22.8611333020198,25.1640548303945,24.3730615625604,22.2167272615656,21.1393162847211,22.2727435275205,23.1285676697485,25.58349620877,24.2483890086101,23.6024102795452,22.5888273162192,23.0792226236641,22.211289765194,21.3961224134434,21.2766194725246,23.5088700458693,24.104554128819
ARE,18.6841157151146,18.3791279785529,17.5782112065002,23.5730265192985,22.3738986039956,28.9130021991292,,,,,,,,,,,,,,,
ARG,15.8937872782322,17.3511468951153,18.3311867225446,19.5160791570053,19.0101609779701,15.581752639827,16.6414661565525,17.2482847013515,15.8575254186347,16.2895111851898,15.9799540764527,15.5647450770354,14.2723627542237,15.1621987548244,15.2510495001607,14.1990461422681,14.282505371897,17.2906325754362,17.6177901931028,18.4930289934213,15.9035666572482
ARM,28.1078274042853,35.0941906901967,41.8506802488286,43.5045318563582,46.8333157896094,42.8838785721266,39.3751094408429,30.7367448594284,23.5988356156116,21.2125120032579,19.9950573934454,20.6125615954784,17.357719658433,17.6483759985837,16.7409108725174,15.8155984319769,17.7739212520107,21.2039418643996,21.0691132267399,20.5736619222159,21.3550447611018
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,
AUS,26.5880659201753,26.9676243082002,27.7412866557676,27.3471755803552,28.1494081563949,27.5129887832226,26.9461352407809,25.9432868336906,27.3175908517662,27.7286395572248,26.7582301625395,26.1113805788248,25.2841043930064,23.9744250133026,24.3863880116543,23.3219874334142,22.7279354612304,22.5826306071239,23.1156890618434,23.1932473759349,24.0919767539482
AUT,23.7682466626674,23.2345864227667,22.8306808001519,23.1393973500284,23.5337970115719,22.6637107958545,21.8611554230227,22.7073592505649,22.9527434287837,23.3121101516353,22.9671788352856,22.8959621968365,23.3219102437796,23.8459451205616,24.3135937640992,25.0801117201002,25.134256704245,25.8646541570211,25.2127203813994,24.6875584181551,23.5479112127244
AZE,57.7102529835174,41.3088440806548,29.7009527264192,21.3994816734543,18.5787748024277,18.8194317655155,18.1667255386789,20.1776045466764,22.4551866242143,25.7938881440995,27.4303937533572,27.8253034203751,25.0345882181606,23.8172078171339,20.6940768116666,21.1295517984961,22.6664792823179,16.2271252489185,12.0116262492284,17.4006159423821,16.7969003538156
BDI,,,,,,,,,,,,,,,,,,,,,
BEL,21.4618504095247,22.1538935922611,22.3254390645591,23.2930144412895,24.1181419052712,22.5500517779492,21.9382428923496,22.7900061624511,22.8236232419409,22.1558511394486,22.8409196700006,23.1519860999475,23.5198221753782,23.5041514887444,23.7749835796852,24.2312098845978,24.0338724949105,23.9163856652107,23.9336223125547,24.1661068006826,24.2476765830721
BEN,16.0866608482814,15.0410868587762,14.1614409546098,17.0574739269899,15.8450088744723,16.5655504658066,17.6499967380481,18.2263279960581,16.2040295951807,20.7082627484833,21.6376626983262,20.4957392258274,19.72249305162,23.4384503972218,25.900562756214,25.1732556309975,25.2065173861299,28.447444436108,30.7328757658114,34.1217773085656,34.6655509408179
BFA,15.634922833423,15.4378655956574,15.8951941535138,18.1832239589598,17.301896388026,18.7915710542384,20.1227742664708,21.1137502536834,22.1550536304438,23.4825820678442,18.6612605753847,19.147211610749,20.2451557982691,20.8835008952792,20.1522963589389,18.8401565182191,17.7568948377207,18.1079398753545,18.1462572544304,18.3732352965603,17.1648896381461
BGD,24.9918339447004,25.8304355145863,26.1441457474299,26.1784970672047,26.2022714003991,26.2060570157536,26.2466561760577,27.4209733686034,28.2623350097187,28.3896207536466,28.5778757115563,28.886689247008,30.2397639179985,30.9468731155675,31.8225747704431,32.2137331126266,31.3079413414304,31.0187387357172,32.047275580905,30.9512000834944,30.7004900245244
BGR,20.9507166728271,25.6651645226304,27.4377450593783,28.2888035887462,32.9796200804236,27.7810139493655,22.1822267262167,20.8392514705093,21.1224402920965,21.1825324278602,21.060857904973,20.8597788137386,18.4104638518114,18.3038127443279,18.829925858619,18.7188398925975,18.9959627192677,16.2822548110057,17.0042276972592,18.7284506128321,18.3125447926031
BHR,22.5138842259822,25.6865148628303,29.4994531309511,33.5512723854657,34.5226692044314,25.2599199746776,27.4117362251403,21.4870793889003,27.1729554410629,25.1125167779694,26.0902109225078,24.4236635603283,26.8323765525123,28.4555240149231,29.6473951373747,27.5453708574435,29.0855253637305,24.8418199625942,26.8491803428844,27.5133591159521,28.9384002214251
BHS,22.0158603424076,26.1442426953498,32.3440458334358,29.3802986154145,28.2861485844575,26.774300838713,26.6933841533475,28.3661603999821,30.3095033767397,28.3104063845427,30.2654613029778,23.5867067648848,24.7801092509827,26.4676345114044,24.4289815277084,24.205769375612,21.9999614018836,23.3023178532857,22.5577111277416,21.7741777058928,25.7497094638977
BIH,26.9177642885767,29.3781353895492,23.2664148364209,27.4322387315308,29.3870086618576,24.1708852113612,21.1903790429319,22.4529460305798,22.3136710302915,21.4586693817543,23.4017699774264,21.3535615866094,21.0912445723715,22.1820977450405,22.8222703920961,23.0639215176452,23.1509133837447,21.6266831748561,22.5774492481444,23.7931849176387,24.4669748531952
BLR,25.3173520457355,26.5166266823018,29.6607667755813,31.3763246755786,33.3037472609769,35.5374326225462,38.8270843770422,37.685885856564,33.4161102099333,37.1868460544649,33.224364033082,28.6543148072496,25.4400783578553,26.1579866134837,26.227418804984,27.034537426493,25.3653466986551,22.5711362004534,19.4477162810143,22.555363377361,23.8001790850118
BLZ,15.7738883389682,16.5447137431608,16.7562013856216,17.5990669740298,22.0434241097951,16.5310096147082,13.8767930078896,14.2446969324299,13.548139661105,14.6607730687941,16.4653377433108,16.3601588376136,18.0259826627013,15.4176100849581,16.5822544455447,16.7569097918923,17.1569111592985,19.9353909263801,20.5192653485547,20.5010076374772,21.1340516722302
BMU,,,,,,,13.0430267361979,12.5825420569453,11.0144291764369,10.8931113391845,12.0945969964397,11.8925858297364,12.8032086210967,13.763644733725,13.4097576009445,14.7485170334877,12.2379040805742,12.902924909709,12.536566366296,11.1992411450802,10.9469762606134
BOL,11.6871210206907,12.990846906531,14.296679671822,16.1395936873294,17.2487171462335,16.4792607960079,16.5722453451651,18.9656256308952,18.3628772434261,19.0600818282013,20.9820496161581,21.371059614022,20.6704841876063,23.1176658338729,22.8232991121695,22.9142053369823,15.7937305332463,17.0431489901198,17.380669631509,17.7080563284576,16.608811759145
BRA,17.3202333227377,17.0561834601584,17.2102995751944,17.9957613418704,19.3853295545005,19.1019580386452,20.5346736503101,20.6089642091972,20.7167127710863,20.9119218716012,19.873028904781,17.8358070494598,15.524327323785,14.5589865164471,15.0969119559144,15.4711697443353,16.5610215624606,17.9178490537897,17.8004023929581,16.4109751089246,16.9093613196902
BRB,,,,,,,,,,,,,,,,,,,,,
BRN,19.5378575210295,16.1042363710426,15.1973603615226,19.7622730940695,20.6452002021794,26.2134659610584,23.5321395841361,25.9140205339105,32.7660905395797,39.457601760031,27.2783021054882,35.0279851947862,34.3684753465283,34.587567693936,40.8914880421939,38.5070273900823,40.3776287535699,31.084391319741,25.6780332540153,29.4254013593818,27.6977511976314
BTN,68.9344332604568,61.7106097285108,48.2746970719131,40.224760213805,45.2241686023226,49.7747231971075,62.7369005914119,67.7904383722062,69.154926235591,63.3505663166277,54.6280412607061,56.1511418956461,56.9256652736371,54.2642033755981,53.6036335285777,45.799679573097,38.5705348473916,43.9896989488756,55.107688148516,44.6066544838727,
BWA,27.8417735642036,25.3398125302155,20.2615313733541,24.5679225916934,25.3857502822094,28.3351035255209,26.7648941191754,30.1982921302029,31.4658317333179,27.5897535163848,25.4354374358833,27.1032856794333,24.5191722710084,24.1791764530728,26.3934732047554,28.8496651227091,27.6308199443399,26.3940542476821,24.4131351280825,25.6373629510322,28.2893193159531
CAF,6.81213802638146,9.86481735599986,10.2342110190608,10.6872405778362,12.7283872854476,12.9217423859069,16.1364232338687,13.4133986017882,10.7696005106273,6.34984852529107,21.1559057609307,20.5727753662507,20.8776384260612,24.2380273309599,16.3979800021887,14.3881299969725,18.2987700027516,15.7230599997852,14.9322699985163,14.5948464881829,15.1358985879924
CAN,20.8745968478518,21.8374293828034,22.8852031372989,23.3389957278501,23.4690170424371,22.3069697467248,23.4612369646456,23.5104953995433,24.4941864760659,24.1872120842224,24.3893293738975,23.8505819310485,22.7723764559748,22.6963325471202,22.676090231483,22.579977290439,23.1842365277416,23.789323664906,22.9501146990116,22.8530818287483,22.5959576167528
CEB,23.0623436907679,23.6384717536323,24.8280621238666,27.2344343180049,27.4690580795141,23.6672400510731,21.865965513555,22.3960641013181,21.7295872683003,21.234303026604,21.7046068835261,22.1792556789243,20.4731489826507,20.3732429787955,21.1706105621568,22.0893822435031,21.6905987648338,21.3898506221732,21.6692437769989,22.5009349677294,21.277509915048
CHE,27.3118645096356,27.2629980573135,27.0602553682072,27.2072576671874,26.7342723602729,25.2148516664776,25.1886290060014,25.5188489817761,26.2689032426508,26.2276028874151,26.4181898920957,26.4112041073284,26.4998168152161,27.1488889494665,26.6026939426771,26.6222041866252,26.9939096017202,26.2560766763758,25.6510388708704,25.8242433719251,25.0546188527537
CHI,,,,,,,,,,,,,,,,,,,,,
CHL,21.3985792799726,23.3687952186214,21.0647060199714,21.979843266088,26.8810652987589,24.1203156040117,23.0154606048027,24.720392213308,26.7526624059251,26.3486828076349,25.4735403211118,25.4703710407419,24.129197616698,22.2576646322298,23.0497926473567,24.5496860909505,22.5660080465409,23.3256236274779,25.6432104842936,24.2438038833976,23.4893507192449
CHN,39.3505370582361,39.2703289759488,38.5215726233992,37.6709873123357,38.8030814219879,43.4097668520056,43.5201821905755,43.515390928039,43.8737076505916,44.0755431365052,43.3803473680085,41.6166710438192,41.0805800894123,41.4184897995936,42.3803760237203,42.2503490502374,41.8494114609444,41.3521203793076,41.2329317275585,40.4544347218594,39.8697027685165
