economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,2.52912946932762,3.39778677828806,3.60802438784541,5.39256784475517,8.95598705177784,-2.13542872046937,2.07814071860787,4.31629742195203,0.627471992893373,-2.37206524252261,0.421440918881214,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,,,,,
AFE,5.02342068616285,8.55803802239778,8.89816380214033,8.45077480635,12.5666446595157,8.95421802392949,5.53753791645676,8.97120640995788,9.15870843167905,5.74883133553454,5.52581923392517,5.09856164363687,6.44687722255584,6.22137528933118,4.6898064677633,4.10285075461156,5.19162942092851,6.82472709282067,10.8834775726018,7.39918558080627,4.48978854243448
AFG,,12.6862687216715,6.78459655001655,8.68057078513406,26.4186641547444,-6.81116108898996,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775,-6.60118564073726
AFW,0.694336305945758,5.63163351357613,4.41589984169561,3.60736767984596,8.45297623326755,3.28244037589321,1.78484420477113,4.01869907534492,4.57837463515948,2.43920076104126,1.76843582146224,2.13081738058791,1.48741550755546,1.72548602374731,1.78404994832044,1.98309228487232,2.49037783931949,3.74556782333009,7.94925143524016,5.22116801324002,3.60804426950566
AGO,43.5421067519687,22.953513851394,13.3052101780032,12.2514974459487,12.4758291326398,13.7302839288408,14.4696564932577,13.4824679218511,10.2779049218839,8.77781429332624,7.28038730361121,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915772
ALB,2.28001916938101,2.36658195679795,2.37072831904282,2.93268248162323,3.32087090389265,2.26692209450831,3.6271009151748,3.42807130141503,2.03159268395296,1.93762080205223,1.62586504402604,1.89617402592366,1.27543168367423,1.98666133171194,2.02805963071135,1.41109078954251,1.62088661717004,2.04147163139545,6.7252027153006,4.75834555150039,2.21587375089999
AND,,,,,,,,,,,,,,,,,,,,,
ARB,3.63228004956625,3.49368534619531,3.54498591605033,4.74390639021648,11.2706652380848,2.92089711805367,3.91106195534028,4.7531638888563,4.6118443220664,3.25423910998847,2.89947905006057,1.83135233156369,2.36503123461077,2.06932928164424,2.30874696703938,1.33601568147656,1.44703656998741,2.86833027751019,5.17980847967061,4.00025877060147,2.10135577419612
ARE,,,,,12.2504202448139,1.5618131744907,0.877983288285867,0.87734659568512,0.662268900269009,1.1011183637571,2.34626865671643,4.06996608361593,1.61748808904198,1.96682557818842,3.06863379251997,-1.93108114782173,-2.07940317940944,0.179935336174431,5.29122604376849,1.62670837213248,1.66336510224894
ARG,,,,,,,,,,,,,,,34.2772237131003,53.5483043492339,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175,219.883929014578
