Country,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Domestic credit to private sector (% of GDP),Employment in services (% of total employment) (modeled ILO estimate),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),"Industry (including construction), value added (% of GDP)","Services, value added (% of GDP)"
ABW,2004,100.0,0.0175662581169615,51.7852298243845,,-4.68763897846137,29959.7748189582,23.0,15.5965082540353,76.456580991723
ABW,2005,100.0,0.0173277773977134,54.0607007192211,,-8.8049356352136,29081.7066997897,25.4,16.2974611255338,75.541061032835
ABW,2006,100.0,0.0175077037289373,53.8841202639004,,8.92046662114826,28885.9118700469,28.0,17.6558632372378,73.7471756386862
ABW,2007,100.0,0.0178385963799542,51.7272559982541,,-17.5903165005138,29556.8384686554,30.9,17.4795502921148,72.0518850702006
ABW,2008,100.0,0.0169973987102413,50.6584576108456,,0.664175810874169,29870.6648077005,52.0,16.1823488793703,73.1525399615721
ABW,2009,100.0,0.0199068534264945,55.8930411328093,,-0.41563759901472,26204.0597361984,58.0,13.0430359920285,75.7664029190885
ABW,2010,93.4,0.0204920878910203,58.8006572951036,,7.61167220218675,25429.2180974853,62.0,11.5460620013165,78.5445335192497
ABW,2011,100.0,0.0203949029261921,56.2504341594081,,18.5057800383246,26093.0542083227,69.0,12.3664483303712,77.4233295663828
ABW,2012,100.0,0.0214687486582032,58.6859032351161,,-12.0331802180755,25444.7336646687,74.0,10.0760634560669,79.5391289840283
ABW,2013,100.0,0.0178174631618829,59.1636851428981,,9.97445713517423,26680.1411206342,78.9,10.7496646425755,80.1808370111718
ABW,2014,100.0,0.0148129732019303,60.2405386637617,,7.46525460335849,26773.8226808518,83.78,10.799498200524,80.2286442466312
ABW,2015,100.0,0.0125197907912791,56.6268817632089,,-0.907264375161604,27458.2201537506,88.6612,12.4688254381031,79.1390682899908
ABW,2016,100.0,0.018611754127868,57.2219316866237,,0.923397287531133,27587.2498040483,93.5425,12.7138128237982,78.7310715745525
ABW,2017,100.0,0.023918578557175,57.246534425591,,5.2533752062728,28548.8904317739,97.17,12.3948278061063,78.9879081107466
ABW,2018,100.0,0.0222530069695395,55.9651018283957,,4.39981717177271,29419.208623316,,11.358156434717,79.7290794451106
ABW,2019,100.0,0.0184243247340194,59.6493537497553,,-2.2478342012416,29699.1805366222,,11.6288104514912,77.9193349333139
ABW,2020,100.0,0.0217006023554796,82.0939664354264,,6.51718576425329,22729.8897593533,,12.6114406876517,77.2007006682213
ABW,2021,100.0,0.0299985466651702,68.6460015848153,,4.63553026601194,26292.9179363154,,11.0075338030159,78.4104138454673
ABW,2022,99.9,0.0342144315332219,60.5316284506998,,7.4653342753216,29195.2670227422,,9.73591736419981,79.0035997315605
ABW,2023,100.0,,56.711929646071,,-3.58459079731401,31430.9353682253,,,
ABW,2024,,,,,2.42051208397071,33373.9174591266,,,
AFE,2004,23.724454932615,10.0517582138612,79.85964558993,27.8124407883343,1.82591614109867,1271.31275711155,,26.8893149488841,54.0615506002132
AFE,2005,23.449539355606,9.96435509379107,85.31112801404,27.9728340220678,2.02191300437059,1314.3879382145,1.8,27.8152096872531,52.8721406975059
AFE,2006,25.1724823105969,10.263076702081,94.3851489171964,28.2971521723929,1.25663111373599,1364.70525366925,1.9,27.8943653138769,52.142832261945
AFE,2007,26.7951445862147,11.1719463183513,93.3502201462442,28.6043096345486,2.43740589998239,1417.47243247841,2.7,29.2235447877185,49.7905873166223
AFE,2008,25.9088451344457,12.3951575283608,78.1458267875116,28.859947033116,3.1569406143365,1440.59728407645,3.0,30.4645998089145,48.2903210213689
AFE,2009,26.1878464781111,12.6634182446055,79.5947790610624,29.0800077037936,2.58633169148882,1414.58775130051,3.5,26.6977694815849,53.4094698273855
AFE,2010,27.414953756332,11.5097433507165,84.6104728025506,29.8023909576755,1.68010728226786,1449.48915951845,5.3,27.3212163743139,53.9021961689779
AFE,2011,28.909756234127,10.3947360711001,76.3874705547756,30.1521447448849,1.81596108935578,1468.63057193646,6.8,28.6052577416269,53.8211079711216
AFE,2012,31.6734274619175,11.1428276413639,79.2722783477421,30.6136936599094,2.60638627365529,1456.72281306529,8.4,28.4590121987767,53.6311585622973
AFE,2013,31.7235735731483,11.4902471456998,75.4637741628069,30.3886859838973,2.18038048661154,1478.97797685759,10.0,27.8033727389777,53.7787110257877
AFE,2014,31.8719561283579,12.2765768281439,73.9857531487778,31.0444810877045,2.76047028514722,1495.95557383523,12.1,27.1637700860693,53.4688932792653
AFE,2015,33.9222756622758,13.0150928784089,65.7969298973195,31.5469036017198,3.14554882093462,1498.8752400759,14.3,24.8785505777961,54.2821950252198
AFE,2016,38.8595976583714,12.8864676029798,66.039387644507,32.0982958374921,2.04466423939857,1490.9075460241,16.3,24.748444475518,54.0249925435842
AFE,2017,40.2237441730368,12.4624744974616,65.7437053602284,32.6873169327904,1.08109615222276,1490.91109750422,17.3,25.3937369507361,54.1233711836333
AFE,2018,43.0350733507835,11.9917475435429,62.1413742869687,33.5381424689252,1.33528231684753,1489.94213724372,19.6,26.172562623672,53.8787528097878
AFE,2019,44.3908605333639,12.9537634387917,60.5328100329428,34.5483996115138,1.52051857645015,1479.37238691603,21.6,26.0330206191942,52.6298927017876
AFE,2020,46.2823709455637,14.7341526462305,55.7773296362755,33.0261568695551,1.41831883376737,1399.39849841898,23.5,25.0956185656564,51.7241133548561
AFE,2021,48.1272110400485,13.7287411103208,49.5995485828764,32.7940798485352,4.92436019944644,1425.2090572764,25.0,25.9427857270268,49.858938935124
AFE,2022,48.8012579607658,14.1855226450872,44.407170680363,33.6081619000381,1.74630848651061,1440.43036630175,26.8,26.3210526613761,48.0012413685301
AFE,2023,50.6675157944854,15.3330728318336,46.6794368727604,33.6967049509918,2.00857937857267,1431.72178996886,27.8,26.4166896198758,49.7914536851808
AFE,2024,,15.2652577337707,,34.2977111919012,2.19724848242449,1435.35627774336,28.8,25.9484293974406,50.6849835329271
AFG,2004,23.8,29.7210671376957,,24.833148478038,3.577104200584,338.637273888197,0.105809,26.2267897500666,41.1108953364243
AFG,2005,28.7,31.114854912062,,25.7077189524347,4.36867310434287,363.640141436773,1.22415,26.8120992326398,39.0077871841904
AFG,2006,33.5,28.6359685844686,4.84285686566253,25.9420504795722,3.41377297323201,367.75831169358,2.10712,28.2107680719994,39.8310243252872
