Indicator,count,missing_count,missing_percentage,outlier_count,outlier_percentage,mean,median,std,skewness,kurtosis,min,max,q25,q75,outlier_lower_bound,outlier_upper_bound
Year,5586,0,0.0,0,0.0,2014.0,2014.0,6.0558,0.0,-1.2055,2004.0,2024.0,2009.0,2019.0,,
Agri_GDP,5101,485,8.68,59,1.06,10.467,7.3099,9.761,1.2143,1.3219,0.0115,66.0327,2.4947,16.6071,-18.6741,37.7759
Credit_Private,4384,1202,21.52,164,2.94,55.9636,43.7229,45.7324,1.3536,1.7921,0.0001,301.0189,21.4674,76.7816,-61.5039,159.7528
Elec_Access,5249,337,6.03,358,6.41,81.9849,98.4,27.1752,-1.4049,0.622,0.8,100.0,70.4,100.0,26.0,144.4
Emp_Services,4926,660,11.82,0,0.0,53.7264,53.7001,17.8246,-0.1463,-0.895,6.643,93.6782,39.4986,68.5298,,
FDI_GDP,5071,515,9.22,560,10.03,8.1421,2.7382,57.5492,11.9557,349.0081,-1303.1083,1709.8272,1.398,5.2394,-4.3642,11.0016
GDPC_2015,5355,231,4.14,494,8.84,14953.2683,5756.5505,22009.9691,3.0631,14.4773,250.8789,247170.2199,1916.9165,18771.4658,-23364.9074,44053.2898
Indus_GDP,5108,478,8.56,215,3.85,26.5927,25.1822,11.7935,1.1675,2.5504,2.0863,86.6696,19.1606,32.1381,-0.3056,51.6042
Internet_Usage,4622,964,17.26,0,0.0,43.3764,39.725,31.0124,0.1868,-1.3429,0.0,100.0,14.0075,71.5851,,
Serv_GDP,5076,510,9.13,93,1.66,55.7558,54.7621,12.3545,0.2647,0.3966,6.4481,96.1626,47.6694,63.8393,23.4146,88.0941
